Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
phosphatidylinositol glycan anchor biosynthesis class L,PIGL,ORPHA:3474,CHIME syndrome
phosphatidylinositol glycan anchor biosynthesis class L,PIGL,ORPHA:247262,Hyperphosphatasia-intellectual disability syndrome
poly(U) binding splicing factor 60,PUF60,ORPHA:508488,8q24.3 microdeletion syndrome
poly(U) binding splicing factor 60,PUF60,ORPHA:508498,Intellectual disability-cardiac anomalies-short stature-joint laxity syndrome
poly(U) binding splicing factor 60,PUF60,OMIM:615583,Verheij syndrome
potassium voltage-gated channel subfamily B member 1,KCNB1,OMIM:616056,Developmental and epileptic encephalopathy 26
potassium voltage-gated channel subfamily B member 1,KCNB1,ORPHA:442835,"Non-specific early-onset epileptic encephalopathy
"
potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,ORPHA:334,Hereditary atrial fibrillation
potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,ORPHA:90647,Jervell and Lange-Nielsen syndrome
potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,OMIM:612347,Jervell and Lange-Nielsen syndrome 2
potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,OMIM:613695,Long QT syndrome 5
potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,ORPHA:101016,Romano-Ward syndrome
potassium voltage-gated channel subfamily Q member 1,KCNQ1,OMIM:607554,"Atrial fibrillation, familial, 3"
potassium voltage-gated channel subfamily Q member 1,KCNQ1,OMIM:130650,Beckwith-Wiedemann syndrome
potassium voltage-gated channel subfamily Q member 1,KCNQ1,ORPHA:51083,Congenital short QT syndrome
potassium voltage-gated channel subfamily Q member 1,KCNQ1,ORPHA:334,Hereditary atrial fibrillation
